Id,Lable,Weight
1069,school,41
1070,economics,41
1071,indirectly,41
1072,finance,41
1073,beautiful,41
1074,translator,41
1075,disposal,41
1076,five,41
1077,conduct,41
1078,criticism,41
1079,praise,41
1080,issue,41
1081,united,41
1082,sufficient,41
